ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,padj HD,padj H_LF,padj H_HF,padj D_LF,padj D_HF,padj_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF,ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF
rFEF,rPCM,0.14454784062072995,0.1445356837693321,0.14454783810633381,0.14454803772805108,0.1217623256808717,0.12174000229833616,0.12176232334557013,0.12176233855509577,1.0,1.0,1.0,1.0,1.0,1.0,9.968342492542884e-05,0.00010129965490878353,9.966280840314976e-05,-1.6160871041924017e-06,2.0615588504112094e-08,1.6367027071042572e-06,rFEF,rPCM,0.14454784062072995,0.1445356837693321,0.14454783810633381,0.14454803772805108,0.1217623256808717,0.12174000229833616,0.12176232334557013,0.12176233855509577,0.9990262959579385,0.9990105086907322,0.9990264973392725,0.999984214116456,0.9999997986276368,0.9999840127439521,9.968342492542884e-05,0.00010129965490878353,9.966280840314976e-05,-1.6160871041924017e-06,2.0615588504112094e-08,1.6367027071042572e-06
rFEF,rPCM,0.14454784062072995,0.1445356837693321,0.14454783810633381,0.14454803772805108,0.1217623256808717,0.12174000229833616,0.12176232334557013,0.12176233855509577,1.0,1.0,1.0,1.0,1.0,1.0,9.968342492542884e-05,0.00010129965490878353,9.966280840314976e-05,-1.6160871041924017e-06,2.0615588504112094e-08,1.6367027071042572e-06,rFEF,rPCM,0.14454784062072995,0.1445356837693321,0.14454783810633381,0.14454803772805108,0.1217623256808717,0.12174000229833616,0.12176232334557013,0.12176233855509577,0.9990262959579385,0.9990105086907322,0.9990264973392725,0.999984214116456,0.9999997986276368,0.9999840127439521,9.968342492542884e-05,0.00010129965490878353,9.966280840314976e-05,-1.6160871041924017e-06,2.0615588504112094e-08,1.6367027071042572e-06
rFEF,rPCS,0.11039613358198531,0.11041860554549092,0.11039613356786451,0.11039576306756786,0.09167666111570666,0.09168963013648064,0.09167666126783422,0.09167665520818945,1.0,1.0,1.0,1.0,1.0,1.0,-0.000244695780893999,-0.0002487302968254368,-0.00024469593445151634,4.034793429176714e-06,1.5377138796606926e-10,-4.034639654436141e-06,rFEF,rPCS,0.11039613358198531,0.11041860554549092,0.11039613356786451,0.11039576306756786,0.09167666111570666,0.09168963013648064,0.09167666126783422,0.09167665520818945,0.9976098235674746,0.9975704147340917,0.9976098220675368,0.9999605882758361,0.9999999984979664,0.9999605897779026,-0.000244695780893999,-0.0002487302968254368,-0.00024469593445151634,4.034793429176714e-06,1.5377138796606926e-10,-4.034639654436141e-06
rFEF,rPFCCL,0.13402401956490986,0.134008083912616,0.13402401895255986,0.1340242941771981,0.11803550817907571,0.11803363267913813,0.11803550723014243,0.11803448840838959,1.0,1.0,1.0,1.0,1.0,1.0,0.00013478314569374705,0.00013710639833908807,0.00013477796700229767,-2.322651950801999e-06,5.179192098025035e-09,2.327831174609383e-06,rFEF,rPFCCL,0.13402401956490986,0.134008083912616,0.13402401895255986,0.1340242941771981,0.11803550817907571,0.11803363267913813,0.11803550723014243,0.11803448840838959,0.998683443442926,0.9986607500220764,0.9986834940281378,0.999977312415209,0.9999999494098287,0.9999772618247281,0.00013478314569374705,0.00013710639833908807,0.00013477796700229767,-2.322651950801999e-06,5.179192098025035e-09,2.327831174609383e-06
rFEF,rPFCDL,0.1457898229445589,0.14650520545938964,0.14578521482180146,0.14808576184318437,0.13680840713347947,0.13697986751187674,0.1368035839234345,0.10099699383872564,1.0,1.0,1.0,1.0,1.0,1.0,-0.00521709029554956,0.013112080642135125,-0.005250788524789256,-0.01906225066540748,3.362744537248903e-05,0.01910094590396134,rFEF,rPFCDL,0.1457898229445589,0.14650520545938964,0.14578521482180146,0.14808576184318437,0.13680840713347947,0.13697986751187674,0.1368035839234345,0.10099699383872564,0.9490743531129333,0.872470930357956,0.948745866682076,0.815481064199427,0.9996715282733479,0.8151132888412106,-0.00521709029554956,0.013112080642135125,-0.005250788524789256,-0.01906225066540748,3.362744537248903e-05,0.01910094590396134
rFEF,rPFCDM,0.13127118255635087,0.13126585341781466,0.1312711825526668,0.13127118429823853,0.09432116157723215,0.09432449198438735,0.09432116156626998,0.09432116113288362,1.0,1.0,1.0,1.0,1.0,1.0,5.640468384434164e-05,5.64231204697809e-05,5.640464485456017e-05,-1.843681807425712e-08,3.899374749927948e-11,1.847581182291963e-08,rFEF,rPFCDM,0.13127118255635087,0.13126585341781466,0.1312711825526668,0.13127118429823853,0.09432116157723215,0.09432449198438735,0.09432116156626998,0.09432116113288362,0.9994490410217917,0.9994488609335083,0.9994490414026425,0.9999998199097918,0.9999999996191105,0.9999998195289022,5.640468384434164e-05,5.64231204697809e-05,5.640464485456017e-05,-1.843681807425712e-08,3.899374749927948e-11,1.847581182291963e-08
rFEF,rPFCM,0.15148675934543632,0.151487441561743,0.15148675584560525,0.15148665941907558,0.12809423194611005,0.12809536144103065,0.12809423374413853,0.12809359445931331,1.0,1.0,1.0,1.0,1.0,1.0,-5.3169867003755885e-06,-6.095797575968587e-06,-5.344263283255498e-06,7.788010787863422e-07,2.727674045484422e-08,-7.515242649913619e-07,rFEF,rPFCM,0.15148675934543632,0.151487441561743,0.15148675584560525,0.15148665941907558,0.12809423194611005,0.12809536144103065,0.12809423374413853,0.12809359445931331,0.9999480638558496,0.9999404564578797,0.9999477974191217,0.9999923926977065,0.9999997335617324,0.9999926591366904,-5.3169867003755885e-06,-6.095797575968587e-06,-5.344263283255498e-06,7.788010787863422e-07,2.727674045484422e-08,-7.515242649913619e-07
rFEF,rPFCORB,0.1277896738086432,0.12814485970540018,0.1277896742262089,0.12778928985799026,0.10869410747434331,0.10930062610040092,0.10869410792899996,0.10869384170273642,1.0,1.0,1.0,1.0,1.0,1.0,-0.0032532166980974524,-0.003256737336211999,-0.0032532128667658944,3.5265082768235854e-06,-3.835250956002229e-09,-3.530343525092906e-06,rFEF,rPFCORB,0.1277896738086432,0.12814485970540018,0.1277896742262089,0.12778928985799026,0.10869410747434331,0.10930062610040092,0.10869410792899996,0.10869384170273642,0.9682311104495228,0.9681967483380517,0.9682311478440948,0.9999655531878098,0.9999999625373999,0.999965515725236,-0.0032532166980974524,-0.003256737336211999,-0.0032532128667658944,3.5265082768235854e-06,-3.835250956002229e-09,-3.530343525092906e-06
rFEF,rTCC,0.14287920772969587,0.14286228146349303,0.14287920784497604,0.1428789690717007,0.11776849507032384,0.11776247539157858,0.11776849504744824,0.11776855086200573,1.0,1.0,1.0,1.0,1.0,1.0,0.00014348883437742964,0.00014146562829389463,0.0001434898116546113,2.023120387541788e-06,-9.7723826932893e-10,-2.0240976257761257e-06,rFEF,rTCC,0.14287920772969587,0.14286228146349303,0.14287920784497604,0.1428789690717007,0.11776849507032384,0.11776247539157858,0.11776849504744824,0.11776855086200573,0.9985984066974111,0.9986181692750792,0.9985983971514159,0.9999802382292705,0.99999999045437,0.9999802286836409,0.00014348883437742964,0.00014146562829389463,0.0001434898116546113,2.023120387541788e-06,-9.7723826932893e-10,-2.0240976257761257e-06
rFEF,rTCI,0.13823282524457853,0.13821722668790154,0.13823282524231176,0.13823282371395682,0.11733383123335557,0.11732207650710239,0.11733383122173588,0.1173338280967757,1.0,1.0,1.0,1.0,1.0,1.0,0.00013272657408963702,0.00013271355195508988,0.00013272655480848735,1.3023256391347435e-08,1.9286756236906085e-11,-1.3003969635497594e-08,rFEF,rTCI,0.13823282524457853,0.13821722668790154,0.13823282524231176,0.13823282371395682,0.11733383123335557,0.11732207650710239,0.11733383122173588,0.1173338280967757,0.9987035319369967,0.9987036591365931,0.998703532125334,0.9999998727892772,0.9999999998116076,0.9999998729776695,0.00013272657408963702,0.00013271355195508988,0.00013272655480848735,1.3023256391347435e-08,1.9286756236906085e-11,-1.3003969635497594e-08
rFEF,rTCS,0.15113778807413417,0.1511327138501314,0.1511377878296477,0.1511379867990439,0.12386988366623597,0.12387425014845696,0.1238698834088627,0.12386983011074951,1.0,1.0,1.0,1.0,1.0,1.0,4.089509466608407e-05,4.2496703228367425e-05,4.0893124299519255e-05,-1.6016279509414369e-06,1.9704437779560106e-09,1.6035983968092653e-06,rFEF,rTCS,0.15113778807413417,0.1511327138501314,0.1511377878296477,0.1511379867990439,0.12386988366623597,0.12387425014845696,0.1238698834088627,0.12386983011074951,0.9996005381311133,0.9995848936755138,0.999600557377584,0.9999843553529703,0.9999999807527726,0.9999843361057225,4.089509466608407e-05,4.2496703228367425e-05,4.0893124299519255e-05,-1.6016279509414369e-06,1.9704437779560106e-09,1.6035983968092653e-06
rFEF,rV1,0.16124109687436772,0.16177088784184046,0.1612410970576387,0.16124110578792117,0.12803260797155896,0.1283634679911209,0.1280326078775517,0.12803261758850445,1.0,1.0,1.0,1.0,1.0,1.0,-0.004125701246591447,-0.004125631678521493,-0.0041256998208952875,-6.950326900814089e-08,-1.4290521616762373e-09,6.807421692565123e-08,rFEF,rV1,0.16124109687436772,0.16177088784184046,0.1612410970576387,0.16124110578792117,0.12803260797155896,0.1283634679911209,0.1280326078775517,0.12803261758850445,0.959717462384522,0.9597181410546677,0.9597174762928768,0.9999993210944461,0.9999999860410673,0.999999335053378,-0.004125701246591447,-0.004125631678521493,-0.0041256998208952875,-6.950326900814089e-08,-1.4290521616762373e-09,6.807421692565123e-08
rFEF,rV2,0.14704371603547092,0.14673318786559425,0.14704371604288882,0.1470423979738835,0.11239145954529103,0.11201445096596396,0.1123914581903103,0.11238930341637832,1.0,1.0,1.0,1.0,1.0,1.0,0.002762937506505652,0.002751236476405636,0.0027629375892175446,1.170796795082227e-05,-6.589047082928843e-11,-1.1708033912501553e-05,rFEF,rV2,0.14704371603547092,0.14673318786559425,0.14704371604288882,0.1470423979738835,0.11239145954529103,0.11201445096596396,0.1123914581903103,0.11238930341637832,0.9730168792772989,0.9731311092872351,0.9730168784698352,0.999885636969996,0.9999999993563842,0.9998856363256845,0.002762937506505652,0.002751236476405636,0.0027629375892175446,1.170796795082227e-05,-6.589047082928843e-11,-1.1708033912501553e-05
rFEF,lFEF,0.143798621549036,0.1437911574615923,0.14379863429550202,0.14379862217842063,0.12682483555230017,0.1268130306952903,0.12682483159481747,0.12682483644998516,1.0,1.0,1.0,1.0,1.0,1.0,5.875807911518484e-05,5.8763033488991914e-05,5.885842155083159e-05,-4.954351194728129e-09,-1.003368490221881e-07,-9.538249739506185e-08,rFEF,lFEF,0.143798621549036,0.1437911574615923,0.14379863429550202,0.14379862217842063,0.12682483555230017,0.1268130306952903,0.12682483159481747,0.12682483644998516,0.999426053143026,0.9994260047488848,0.9994250730018022,0.999999951606067,0.9999990199130914,0.9999990683070287,5.875807911518484e-05,5.8763033488991914e-05,5.885842155083159e-05,-4.954351194728129e-09,-1.003368490221881e-07,-9.538249739506185e-08
rFEF,lPCI,0.15115095408120652,0.15114312858782505,0.15114039097096318,0.15115095104858559,0.141311688158168,0.1412990464215926,0.1413314008743162,0.1413116838903586,1.0,1.0,1.0,1.0,1.0,1.0,5.528763802551392e-05,5.526621318892169e-05,-1.9340098469536633e-05,2.1424713200327467e-08,7.462054263952263e-05,7.459912054728882e-05,rFEF,lPCI,0.15115095408120652,0.15114312858782505,0.15114039097096318,0.15115095104858559,0.141311688158168,0.1412990464215926,0.1413314008743162,0.1413116838903586,0.9994599522845776,0.9994601615616004,0.9998110865815726,0.9999997907241345,0.9992711091940124,0.9992713184441889,5.528763802551392e-05,5.526621318892169e-05,-1.9340098469536633e-05,2.1424713200327467e-08,7.462054263952263e-05,7.459912054728882e-05
rFEF,lPCM,0.1604396826642313,0.16043222116432035,0.1604439981985664,0.16043968447539875,0.1273005897526399,0.12729419337624082,0.12728849154420335,0.1273005892142511,1.0,1.0,1.0,1.0,1.0,1.0,5.8516938983396415e-05,5.8531143218377166e-05,9.236597902992233e-05,-1.420375438539988e-08,-3.384540882300948e-05,-3.383120446524767e-05,rFEF,lPCM,0.1604396826642313,0.16043222116432035,0.1604439981985664,0.16043968447539875,0.1273005897526399,0.12729419337624082,0.12728849154420335,0.1273005892142511,0.9994284085909751,0.9994282698445295,0.9990977724695684,0.999999861258213,0.9996693992140022,0.9996695379616709,5.8516938983396415e-05,5.8531143218377166e-05,9.236597902992233e-05,-1.420375438539988e-08,-3.384540882300948e-05,-3.383120446524767e-05
rFEF,lPCS,0.12471727651653479,0.12473246932504421,0.12468293352138948,0.12471727640096475,0.13777092418787515,0.13782426329210157,0.13778558461054782,0.13777092521858353,1.0,1.0,1.0,1.0,1.0,1.0,-0.00011007061393313223,-0.0001100714508167239,-0.00035886362520557417,8.374572674394588e-10,0.0002488470270056516,0.00024884618866218743,rFEF,lPCS,0.12471727651653479,0.12473246932504421,0.12468293352138948,0.12471727640096475,0.13777092418787515,0.13782426329210157,0.13778558461054782,0.13777092521858353,0.9989248343349807,0.9989248261603378,0.9964946436908935,0.9999999918197461,0.9975692745229868,0.997569282711859,-0.00011007061393313223,-0.0001100714508167239,-0.00035886362520557417,8.374572674394588e-10,0.0002488470270056516,0.00024884618866218743
rFEF,lPFCCL,0.13200846294584723,0.13201548718169798,0.13198983983908236,0.13200846223701182,0.12544205879552797,0.12544392673667662,0.12539127609327783,0.1254420594487654,1.0,1.0,1.0,1.0,1.0,1.0,-5.5902038559481916e-05,-5.590767964594336e-05,-0.00020415444491736395,5.641274015322574e-09,0.0001482421941420417,0.0001482365513398918,rFEF,lPFCCL,0.13200846294584723,0.13201548718169798,0.13198983983908236,0.13200846223701182,0.12544205879552797,0.12544392673667662,0.12539127609327783,0.1254420594487654,0.9994539508425749,0.9994538957406482,0.9980058284478285,0.9999999448962285,0.9985519761160723,0.9985520312346797,-5.5902038559481916e-05,-5.590767964594336e-05,-0.00020415444491736395,5.641274015322574e-09,0.0001482421941420417,0.0001482365513398918
rFEF,lPFCDL,0.15752073328593263,0.15722716556033542,0.12554262618534126,0.15752078067111683,0.15091374621933967,0.1506277208569183,0.09898212677258207,0.15091381915044572,1.0,1.0,0.9218597387991913,1.0,0.8518054671887203,0.849512010616429,0.0019438646938744074,0.0019441779851734266,-0.24819218056081682,-3.134646956814303e-07,0.25015990473258104,0.2501601908899318,rFEF,lPFCDL,0.15752073328593263,0.15722716556033542,0.12554262618534126,0.15752078067111683,0.15091374621933967,0.1506277208569183,0.09898212677258207,0.15091381915044572,0.9810141926873981,0.9810111333374268,0.0024714738305608346,0.9999969380875767,0.00228366076994295,0.002283634437140938,0.0019438646938744074,0.0019441779851734266,-0.24819218056081682,-3.134646956814303e-07,0.25015990473258104,0.2501601908899318
rFEF,lPFCDM,0.16755858018514325,0.1675631105721743,0.16755858598995294,0.16755858231238802,0.1274870237646378,0.12749315087303997,0.12748702875297865,0.12748702255511624,1.0,1.0,1.0,1.0,1.0,1.0,-3.547593524402342e-05,-3.5459277674780054e-05,-3.543047904097502e-05,-1.665813781823332e-08,-4.545660135017658e-08,-2.8798464073477613e-08,rFEF,lPFCDM,0.16755858018514325,0.1675631105721743,0.16755858598995294,0.16755858231238802,0.1274870237646378,0.12749315087303997,0.12748702875297865,0.12748702255511624,0.9996534722891421,0.9996536349996933,0.9996539163037365,0.9999998372838796,0.9999995559814732,0.9999997186975882,-3.547593524402342e-05,-3.5459277674780054e-05,-3.543047904097502e-05,-1.665813781823332e-08,-4.545660135017658e-08,-2.8798464073477613e-08
rFEF,lPFCM,0.11964544622012925,0.11964824478263641,0.11966627098719451,0.11964544724961806,0.11414546171642623,0.11414292049257849,0.11417259374025363,0.11414546388349053,1.0,1.0,1.0,1.0,1.0,1.0,-2.447688590831424e-05,-2.4467881524746917e-05,0.00015764268770000395,-9.004050984664274e-09,-0.00018211463793505405,-0.00018210563322580085,rFEF,lPFCM,0.11964544622012925,0.11964824478263641,0.11966627098719451,0.11964544724961806,0.11414546171642623,0.11414292049257849,0.11417259374025363,0.11414546388349053,0.9997609106194254,0.9997609985739321,0.9984601525780143,0.9999999120487381,0.9982211119244835,0.9982211998819562,-2.447688590831424e-05,-2.4467881524746917e-05,0.00015764268770000395,-9.004050984664274e-09,-0.00018211463793505405,-0.00018210563322580085
rFEF,lPFCORB,0.14049725713773972,0.14104692322650725,0.14047725280477952,0.14049725605609437,0.13462428713637348,0.13459995241459985,0.13462441893774924,0.13462428705304774,1.0,1.0,1.0,1.0,1.0,1.0,-0.0040765215835914664,-0.004076529606724616,-0.004224878849483606,8.021146353780876e-09,0.00014834585366269005,0.00014833783256617205,rFEF,lPFCORB,0.14049725713773972,0.14104692322650725,0.14047725280477952,0.14049725605609437,0.13462428713637348,0.13459995241459985,0.13462441893774924,0.13462428705304774,0.9601972410400889,0.9601971627681772,0.9587499669341802,0.9999999216497168,0.9985509635750938,0.9985510419247606,-0.0040765215835914664,-0.004076529606724616,-0.004224878849483606,8.021146353780876e-09,0.00014834585366269005,0.00014833783256617205
rFEF,lTCC,0.14173639813039576,0.1417375854364681,0.1417447425165634,0.14173639681585581,0.10520727305389746,0.10520846918351615,0.10519915927689592,0.1052072733532963,1.0,1.0,1.0,1.0,1.0,1.0,-1.1266510428168606e-05,-1.1278984262283655e-05,6.791713510361332e-05,1.2473921055452245e-08,-7.918453015063137e-05,-7.919700444002152e-05,rFEF,lTCC,0.14173639813039576,0.1417375854364681,0.1417447425165634,0.14173639681585581,0.10520727305389746,0.10520846918351615,0.10519915927689592,0.1052072733532963,0.9998899491119315,0.9998898272679478,0.9993365878244859,0.9999998781551659,0.9992265283399574,0.9992264064915828,-1.1266510428168606e-05,-1.1278984262283655e-05,6.791713510361332e-05,1.2473921055452245e-08,-7.918453015063137e-05,-7.919700444002152e-05
rFEF,lTCI,0.14950041196960115,0.14949780767198834,0.14950040723483005,0.14950041271611647,0.11818671389550517,0.1181813067128789,0.11818671475910558,0.11818671261905211,1.0,1.0,1.0,1.0,1.0,1.0,2.1999198422002764e-05,2.200550455541053e-05,2.1959202464008603e-05,-6.305870351071842e-09,3.999496269647821e-08,4.6300833240490265e-08,rFEF,lTCI,0.14950041196960115,0.14949780767198834,0.14950040723483005,0.14950041271611647,0.11818671389550517,0.1181813067128789,0.11818671475910558,0.11818671261905211,0.9997851125850435,0.9997850509869504,0.9997855032641787,0.9999999384044741,0.9999996093305726,0.999999547735045,2.1999198422002764e-05,2.200550455541053e-05,2.1959202464008603e-05,-6.305870351071842e-09,3.999496269647821e-08,4.6300833240490265e-08
rFEF,lTCS,0.10083803874429473,0.1008337381673677,0.10083064290283966,0.10083803951818968,0.0974775995621924,0.0974673316834231,0.0974745672350368,0.09747760052750773,1.0,1.0,1.0,1.0,1.0,1.0,4.4047344882815984e-05,4.405527104715194e-05,-3.1702794142014406e-05,-7.925965003311477e-09,7.574683455833808e-05,7.575476027155251e-05,rFEF,lTCS,0.10083803874429473,0.1008337381673677,0.10083064290283966,0.10083803951818968,0.0974775995621924,0.0974673316834231,0.0974745672350368,0.09747760052750773,0.9995697470630139,0.9995696696405231,0.9996903281992147,0.999999922579445,0.9992601076177535,0.9992600301996913,4.4047344882815984e-05,4.405527104715194e-05,-3.1702794142014406e-05,-7.925965003311477e-09,7.574683455833808e-05,7.575476027155251e-05
rFEF,lV1,0.14017692208491714,0.14050464229246004,0.14017709285309438,0.1401769219496437,0.13187638860739478,0.13094043199558253,0.1318764711092863,0.13187638955165187,1.0,1.0,1.0,1.0,1.0,1.0,-0.0024897301158159513,-0.0024897311345276653,-0.002488431985361278,1.0240482650115818e-09,-1.2927505409273629e-06,-1.2937745842438997e-06,rFEF,lV1,0.14017692208491714,0.14050464229246004,0.14017709285309438,0.1401769219496437,0.13187638860739478,0.13094043199558253,0.1318764711092863,0.13187638955165187,0.9756841759607664,0.9756841660146581,0.9756968501541742,0.9999999899971316,0.9999873724569437,0.9999873624541236,-0.0024897301158159513,-0.0024897311345276653,-0.002488431985361278,1.0240482650115818e-09,-1.2927505409273629e-06,-1.2937745842438997e-06
rFEF,lV2,0.14875563557884525,0.14867274956160273,0.14871944718587626,0.1487556357090322,0.11537243197679485,0.11552798398652972,0.11534707805565039,0.11537243240081176,1.0,1.0,1.0,1.0,1.0,1.0,0.0007167396338062977,0.000716740758255576,0.000403852327830863,-1.1265237521144508e-09,0.00031317705565411005,0.000313178181726029,rFEF,lV2,0.14875563557884525,0.14867274956160273,0.14871944718587626,0.1487556357090322,0.11537243197679485,0.11552798398652972,0.11534707805565039,0.11537243240081176,0.9929990018412461,0.992998990858088,0.9960552003896366,0.9999999889961545,0.9969409047480606,0.9969408937487098,0.0007167396338062977,0.000716740758255576,0.000403852327830863,-1.1265237521144508e-09,0.00031317705565411005,0.000313178181726029
rPCI,rPCM,0.15456195757967156,0.15456510723629346,0.1545619586173405,0.15456169062244718,0.12239302976238232,0.12241296365218457,0.12239302949306058,0.12239209079891576,1.0,1.0,1.0,1.0,1.0,1.0,-2.5688936435653415e-05,-2.7866374997053812e-05,-2.5680473124905642e-05,2.17751735618821e-06,-8.464028237972194e-09,-2.185981419288812e-06,rPCI,rPCM,0.15456195757967156,0.15456510723629346,0.1545619586173405,0.15456169062244718,0.12239302976238232,0.12241296365218457,0.12239302949306058,0.12239209079891576,0.9997490713519,0.9997278022076721,0.9997491540212258,0.9999787300849634,0.9999999173236618,0.9999786474082846,-2.5688936435653415e-05,-2.7866374997053812e-05,-2.5680473124905642e-05,2.17751735618821e-06,-8.464028237972194e-09,-2.185981419288812e-06
