ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,padj HD,padj H_LF,padj H_HF,padj D_LF,padj D_HF,padj_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF,ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF
rFEF,rPCM,0.13897174188506986,0.13897189300028864,0.13897174238808452,0.13897156320327342,0.11734870789469387,0.11735262325910777,0.1173487088703332,0.11734863645659752,1.0,1.0,1.0,1.0,1.0,1.0,-1.2855755788802148e-06,-2.80566789516004e-06,-1.281296299997254e-06,1.5201172843053775e-06,-4.279344929016955e-09,-1.5243966242178124e-06,rFEF,rPCM,0.13897174188506986,0.13897189300028864,0.13897174238808452,0.13897156320327342,0.11734870789469387,0.11735262325910777,0.1173487088703332,0.11734863645659752,0.9999874425417274,0.9999725943319916,0.9999874843415772,0.9999851515463732,0.9999999581995052,0.9999851097459274,-1.2855755788802148e-06,-2.80566789516004e-06,-1.281296299997254e-06,1.5201172843053775e-06,-4.279344929016955e-09,-1.5243966242178124e-06
rFEF,rPCM,0.13897174188506986,0.13897189300028864,0.13897174238808452,0.13897156320327342,0.11734870789469387,0.11735262325910777,0.1173487088703332,0.11734863645659752,1.0,1.0,1.0,1.0,1.0,1.0,-1.2855755788802148e-06,-2.80566789516004e-06,-1.281296299997254e-06,1.5201172843053775e-06,-4.279344929016955e-09,-1.5243966242178124e-06,rFEF,rPCM,0.13897174188506986,0.13897189300028864,0.13897174238808452,0.13897156320327342,0.11734870789469387,0.11735262325910777,0.1173487088703332,0.11734863645659752,0.9999874425417274,0.9999725943319916,0.9999874843415772,0.9999851515463732,0.9999999581995052,0.9999851097459274,-1.2855755788802148e-06,-2.80566789516004e-06,-1.281296299997254e-06,1.5201172843053775e-06,-4.279344929016955e-09,-1.5243966242178124e-06
rFEF,rPCS,0.14574616775351196,0.14573323108147315,0.1457461677598027,0.14574614974388528,0.11422127758677121,0.11421087864181637,0.11422127763351203,0.11422086074547733,1.0,1.0,1.0,1.0,1.0,1.0,0.00011307596199219163,0.00011291875076406912,0.00011307601695476536,1.5741041219873528e-07,-5.498320895741843e-11,-1.574653954758139e-07,rFEF,rPCS,0.14574616775351196,0.14573323108147315,0.1457461677598027,0.14574614974388528,0.11422127758677121,0.11421087864181637,0.11422127763351203,0.11422086074547733,0.9988954782254129,0.9988970138578377,0.9988954776885409,0.9999984624204789,0.999999999462926,0.9999984618834041,0.00011307596199219163,0.00011291875076406912,0.00011307601695476536,1.5741041219873528e-07,-5.498320895741843e-11,-1.574653954758139e-07
rFEF,rPFCCL,0.16499318516467756,0.16498809907861967,0.1649931852961549,0.16499231317443952,0.12792968980160976,0.1279286891463614,0.12792968978104363,0.127930501628669,1.0,1.0,1.0,1.0,1.0,1.0,3.969072416416069e-05,3.288579512259034e-05,3.969175018821292e-05,6.804776491328609e-06,-1.0260168491300088e-09,-6.80580250546922e-06,rFEF,rPFCCL,0.16499318516467756,0.16498809907861967,0.1649931852961549,0.16499231317443952,0.12792968980160976,0.1279286891463614,0.12792968978104363,0.127930501628669,0.9996123023795378,0.9996787726870141,0.9996122923573711,0.9999335311761113,0.9999999899779025,0.9999335211540403,3.969072416416069e-05,3.288579512259034e-05,3.969175018821292e-05,6.804776491328609e-06,-1.0260168491300088e-09,-6.80580250546922e-06
rFEF,rPFCDL,0.17681248266707775,0.1763708792424406,0.1768131333312881,0.18735517998066092,0.12774198231224562,0.12735549958554265,0.1277457656088943,0.15381793940512653,1.0,1.0,1.0,1.0,1.0,1.0,0.0034564535511481744,0.07765835217998751,0.0034614949198806676,-0.07444427759628502,-5.08500990750777e-06,0.07443878323121465,rFEF,rPFCDL,0.17681248266707775,0.1763708792424406,0.1768131333312881,0.18735517998066092,0.12774198231224562,0.12735549958554265,0.1277457656088943,0.15381793940512653,0.9662475781782869,0.34192939199819816,0.9661983785033532,0.3622664280302381,0.9999503297972214,0.3623018314961527,0.0034564535511481744,0.07765835217998751,0.0034614949198806676,-0.07444427759628502,-5.08500990750777e-06,0.07443878323121465
rFEF,rPFCDM,0.13066295901504238,0.1306638325912954,0.1306629590378496,0.13066296054593088,0.11234203325746733,0.1123466403033633,0.11234203328048577,0.11234203384521892,1.0,1.0,1.0,1.0,1.0,1.0,-7.762910904914526e-06,-7.749306862116737e-06,-7.762708230934334e-06,-1.3604301438834915e-08,-2.0267734069587244e-10,1.3401624097275494e-08,rFEF,rPFCDM,0.13066295901504238,0.1306638325912954,0.1306629590378496,0.13066296054593088,0.11234203325746733,0.1123466403033633,0.11234203328048577,0.11234203384521892,0.9999241721519759,0.9999243050358,0.9999241741316884,0.999999867113649,0.9999999980202546,0.9999998690933943,-7.762910904914526e-06,-7.749306862116737e-06,-7.762708230934334e-06,-1.3604301438834915e-08,-2.0267734069587244e-10,1.3401624097275494e-08
rFEF,rPFCM,0.14057397113017553,0.14057028443572278,0.1405739692490118,0.1405732647400699,0.11954137192025505,0.11954081210930605,0.11954137053124479,0.11954079127040335,1.0,1.0,1.0,1.0,1.0,1.0,3.078895107104682e-05,2.4889686073038873e-05,3.077324095470987e-05,5.8993259609109904e-06,1.571025842827733e-08,-5.883615698601604e-06,rFEF,rPFCM,0.14057397113017553,0.14057028443572278,0.1405739692490118,0.1405732647400699,0.11954137192025505,0.11954081210930605,0.11954137053124479,0.11954079127040335,0.9996992545864132,0.9997568784017234,0.9996994080422812,0.9999423755858887,0.9999998465427331,0.9999425290431931,3.078895107104682e-05,2.4889686073038873e-05,3.077324095470987e-05,5.8993259609109904e-06,1.571025842827733e-08,-5.883615698601604e-06
rFEF,rPFCORB,0.15347962749482358,0.15302935294243677,0.15347962693078854,0.15347952100571038,0.13492677778147802,0.13465746149201255,0.13492677696804914,0.1349265992935293,1.0,1.0,1.0,1.0,1.0,1.0,0.0033349371259249576,0.0033341506290532493,0.0033349329584988555,7.8792034654173e-07,4.17333170449507e-09,-7.837470144519456e-07,rFEF,rPFCORB,0.15347962749482358,0.15302935294243677,0.15347962693078854,0.15347952100571038,0.13492677778147802,0.13465746149201255,0.13492677696804914,0.1349265992935293,0.9674335185860118,0.9674411946458094,0.9674335592592895,0.999992303621011,0.9999999592350387,0.9999923443859761,0.0033349371259249576,0.0033341506290532493,0.0033349329584988555,7.8792034654173e-07,4.17333170449507e-09,-7.837470144519456e-07
rFEF,rTCC,0.14536928725551868,0.14536064565805687,0.14536928721872677,0.145369202001586,0.10851129593980469,0.1085182428870832,0.10851129575187052,0.10851109252323227,1.0,1.0,1.0,1.0,1.0,1.0,7.950238312552622e-05,7.871812381630351e-05,7.950204471019641e-05,7.843589297160572e-07,3.3849500688422086e-10,-7.840204350711289e-07,rFEF,rTCC,0.14536928725551868,0.14536064565805687,0.14536928721872677,0.145369202001586,0.10851129593980469,0.1085182428870832,0.10851129575187052,0.10851109252323227,0.9992234235644413,0.9992310841789412,0.999223426870069,0.9999923384088087,0.9999999966935924,0.9999923417152129,7.950238312552622e-05,7.871812381630351e-05,7.950204471019641e-05,7.843589297160572e-07,3.3849500688422086e-10,-7.840204350711289e-07
rFEF,rTCI,0.1632996734478625,0.16330491823730844,0.16329967344139595,0.16329967185751798,0.15033506851067965,0.1503361986777175,0.15033506850577685,0.1503350688097191,1.0,1.0,1.0,1.0,1.0,1.0,-3.4829006991770344e-05,-3.48395679378939e-05,-3.482904993467193e-05,1.056102046038657e-08,4.2942495076443736e-11,-1.0518077965525045e-08,rFEF,rTCI,0.1632996734478625,0.16330491823730844,0.16329967344139595,0.16329967185751798,0.15033506851067965,0.1503361986777175,0.15033506850577685,0.1503350688097191,0.9996597914615911,0.9996596883026402,0.9996597910421264,0.9999998968403134,0.9999999995805392,0.9999998972597742,-3.4829006991770344e-05,-3.48395679378939e-05,-3.482904993467193e-05,1.056102046038657e-08,4.2942495076443736e-11,-1.0518077965525045e-08
