ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF
rPCM,lPFCDL,0.1512771375497661,0.1509214821818944,0.12502622399353228,0.15127725000010872,0.11631729943101503,0.11610824748847254,0.11176963355238763,0.11631614538255063,0.975661908960728,0.9756540952392693,0.023948766779000243,0.9999923105118669,0.022217086077421858,0.02221583308142959,0.003052719259512286,0.0030536996376021213,-0.22666314445394492,-9.64339968951833e-07,0.229561601472282,0.22956376904518747
rPCM,lPFCDL,0.1512771375497661,0.1509214821818944,0.12502622399353228,0.15127725000010872,0.11631729943101503,0.11610824748847254,0.11176963355238763,0.11631614538255063,0.975661908960728,0.9756540952392693,0.023948766779000243,0.9999923105118669,0.022217086077421858,0.02221583308142959,0.003052719259512286,0.0030536996376021213,-0.22666314445394492,-9.64339968951833e-07,0.229561601472282,0.22956376904518747
rPCS,rPFCDL,0.10682593839647149,0.10637893270631776,0.10682819800065108,0.12697917034039816,0.08522151514406748,0.08500349516318685,0.08522267439735706,0.11512006872707921,0.9582459111628854,0.04294647213864919,0.9580353259969728,0.04784514782637278,0.9997891085545969,0.04787109073998045,0.00523878846022639,0.20307320327245967,0.005265234520686032,-0.19848693026879066,-2.6447931093190412e-05,0.19846371995677367
rPCS,lPFCDL,0.12378336323105583,0.12386578765606548,0.14810454039961266,0.12378316661920678,0.11291933827240538,0.11281902897613298,0.12687162872946972,0.11291866349756025,0.9941916142242725,0.9941777419739568,0.04468384739951307,0.9999861509027539,0.04404902017170438,0.04404676258524512,-0.0007284370717279405,-0.0007301768393008312,0.20139820147786483,1.7368175589411504e-06,-0.2020037322812839,-0.20200589883958014
rPFCDL,rV1,0.12285110984469957,0.12404779905811786,0.12285041745801192,0.14692686338205757,0.10243945801223615,0.10494896866047161,0.10243311220669693,0.13042020346350394,0.9084173394052762,0.054569080358223276,0.9083618280639135,0.041223012249197305,0.9999462382134147,0.04121244410056708,-0.01151082900853392,0.19279774051496484,-0.011517837113187854,-0.2047925929742107,6.742274485330845e-06,0.20480332312765315
rPFCDL,lPCM,0.13723992513074923,0.1374394165577011,0.137253773333801,0.11482103203176335,0.10940945881648703,0.10967184036847084,0.10942450264728079,0.10296544648442355,0.9855155012239054,0.03453657468382042,0.9865218041723338,0.03591733604740277,0.9989933294035003,0.035817032534588004,-0.0018166035297252402,-0.21210348498397436,-0.0016903834514493087,0.21050027807211089,-0.00012624675836373238,-0.21061494638452233
rPFCDL,lPFCCL,0.15832346873665606,0.15773961203457482,0.1583470323157675,0.12740090105599372,0.11689198178256373,0.11634815601792314,0.11693494155280391,0.09992582034462616,0.9601957304079469,0.005515460563097966,0.9585983475175298,0.004792811461811645,0.998396919834701,0.004769935246981623,0.004993940182202579,-0.2790525263355042,0.005194529026063679,0.2836590008501978,-0.00020104268243217809,-0.2838148838948453
rPFCDM,lPFCDL,0.11204599848219753,0.11205867440768628,0.1330499300863247,0.11204615304953211,0.08784747371909,0.08705204491780134,0.1104952092232696,0.08784756961144302,0.9988470904936084,0.9988611494258747,0.03590903177884631,0.9999860051899518,0.03644609056470373,0.03644753906665334,-0.00014458662094070832,-0.00014282348611240736,0.21050976120807469,-1.7550914253567502e-06,-0.20990029048204986,-0.20989865709680636
rPFCM,lPFCDL,0.15441627319503318,0.15466559302611324,0.12019264995163022,0.1544159428934297,0.12387386527171682,0.12399763140483208,0.1200706636971192,0.12387439459768373,0.9840003765298151,0.983979217104101,0.00508232566986987,0.9999787915529642,0.0053838610222693315,0.005384403243504273,-0.0020066504035884934,-0.0020093045470022572,-0.28174247398561103,2.6597548242570846e-06,0.2798489398704881,0.27984562242728767
rTCS,lPFCDL,0.14137919681128783,0.1414899432273064,0.1726397764312206,0.1413792097367298,0.12380562586333714,0.12332594729504032,0.14904316725293393,0.1238060336836674,0.992871410136881,0.9928722538918442,0.023650148332030118,0.9999991696080871,0.023378403845997306,0.0233786457084018,-0.0008940095636088587,-0.0008939037439215443,0.22714964616204958,-1.0413958609290179e-07,-0.22759703736447445,-0.22759663716020184
lFEF,lPFCDL,0.17632562908539434,0.17568722444786225,0.13607190122064117,0.17632562207956876,0.14683805633939984,0.14631396821572612,0.09513845261812152,0.14683806370151392,0.9653682615280326,0.9653686422063439,0.001474077738517664,0.999999620510742,0.001271622663881249,0.001271625619400821,0.004344541773059727,0.0043444939869406495,-0.3202072722867429,4.7591810142934936e-08,0.32454994753302535,0.3245498795868691
lPCM,lPFCDL,0.13183088166775245,0.13209101228127712,0.10392257430533122,0.13183087229584264,0.1241191515238357,0.1246523705503445,0.08717320405307016,0.1241191790138313,0.9833671363669539,0.9833665390439741,0.009332475263653361,0.9999993994238824,0.009789557046226482,0.009789592237737711,-0.002086081829883773,-0.002086156756599556,-0.2612355059652001,7.531834949376879e-08,0.25956818074411675,0.2595680550794968
lPCS,lPFCDL,0.1162963262419327,0.11600875744279245,0.14847255081353888,0.11629637427118106,0.11066890093336544,0.11045062154192886,0.11707628487203267,0.11066886826832216,0.9793141000528395,0.9793106428478793,0.004666640528476503,0.9999965480932005,0.005081995382532883,0.0050820545272162315,0.0025945138924096116,0.0025949476073952337,0.28452732303089806,-4.329041983239321e-07,-0.28174460335554524,-0.28174422203920413
lPFCDL,lPFCDM,0.17216758823316916,0.17240460999240664,0.1275051563377275,0.17216750717865914,0.15625698644287245,0.15648217945829374,0.10599514359758294,0.15625693226386944,0.9879441442694059,0.9879400197468161,0.0008815228052678615,0.9999958741197397,0.0009271582731977788,0.0009271753481329705,-0.0015119845978613668,-0.0015125019142135801,-0.335121184212865,5.174273206739605e-07,0.3336811931431798,0.333680666806954
lPFCDL,lPFCM,0.1125762265677649,0.11312181095903374,0.1450038238627369,0.11257616104200639,0.10796249438633342,0.10770194241808388,0.14847346062807806,0.10796243607824367,0.9597739780538332,0.9597691400601412,0.014635754072197185,0.999995172546843,0.013113532382842094,0.013113332497789718,-0.005046899080434616,-0.00504750658925608,0.24519858683637324,6.054116928060016e-07,-0.24918656727953092,-0.24918711735277863
