ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,padj HD,padj H_LF,padj H_HF,padj D_LF,padj D_HF,padj_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF,ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF
rFEF,rPCM,0.154629867,0.15464765,0.154629868,0.154630219,0.124735788,0.12474537,0.124735789,0.124736547,1,1,1,1,1,1,-0.000142322,-0.000139511,-0.000142316,-2.81E-06,-6.41E-09,2.80E-06,rFEF,rPCM,0.154629867,0.15464765,0.154629868,0.154630219,0.124735788,0.12474537,0.124735789,0.124736547,0.998609804,0.99863726,0.998609866,0.999972547,0.999999937,0.999972609,-0.000142322,-0.000139511,-0.000142316,-2.81E-06,-6.41E-09,2.80E-06
rFEF,rPCM,0.154629867,0.15464765,0.154629868,0.154630219,0.124735788,0.12474537,0.124735789,0.124736547,1,1,1,1,1,1,-0.000142322,-0.000139511,-0.000142316,-2.81E-06,-6.41E-09,2.80E-06,rFEF,rPCM,0.154629867,0.15464765,0.154629868,0.154630219,0.124735788,0.12474537,0.124735789,0.124736547,0.998609804,0.99863726,0.998609866,0.999972547,0.999999937,0.999972609,-0.000142322,-0.000139511,-0.000142316,-2.81E-06,-6.41E-09,2.80E-06
rFEF,rPCS,0.135129267,0.13512989,0.135129267,0.135129299,0.116000673,0.115994299,0.116000673,0.116000467,1,1,1,1,1,1,-5.36E-06,-5.09E-06,-5.36E-06,-2.79E-07,-1.83E-09,2.77E-07,rFEF,rPCS,0.135129267,0.13512989,0.135129267,0.135129299,0.116000673,0.115994299,0.116000673,0.116000467,0.999947604,0.999950326,0.999947622,0.999997279,0.999999982,0.999997297,-5.36E-06,-5.09E-06,-5.36E-06,-2.79E-07,-1.83E-09,2.77E-07
rFEF,rPFCCL,0.148809592,0.148818784,0.148809592,0.148809161,0.112094141,0.112082194,0.112094141,0.112094082,1,1,1,1,1,1,-8.19E-05,-8.57E-05,-8.19E-05,3.84E-06,1.97E-10,-3.84E-06,rFEF,rPFCCL,0.148809592,0.148818784,0.148809592,0.148809161,0.112094141,0.112082194,0.112094141,0.112094082,0.999200315,0.999162825,0.999200313,0.999962512,0.999999998,0.999962514,-8.19E-05,-8.57E-05,-8.19E-05,3.84E-06,1.97E-10,-3.84E-06
rFEF,rPFCDL,0.135271707,0.135263223,0.135266173,0.143901841,0.124832715,0.124806489,0.124828339,0.122601829,1,1,1,1,1,1,6.79E-05,0.069713627,2.36E-05,-0.069637717,4.43E-05,0.069683615,rFEF,rPFCDL,0.135271707,0.135263223,0.135266173,0.143901841,0.124832715,0.124806489,0.124828339,0.122601829,0.999337206,0.393549898,0.999769558,0.394064899,0.999567681,0.393753458,6.79E-05,0.069713627,2.36E-05,-0.069637717,4.43E-05,0.069683615
rFEF,rPFCDM,0.143716733,0.143713792,0.143716733,0.143716735,0.116138575,0.116131468,0.116138575,0.116138575,1,1,1,1,1,1,2.53E-05,2.53E-05,2.53E-05,-1.81E-08,4.76E-11,1.82E-08,rFEF,rPFCDM,0.143716733,0.143713792,0.143716733,0.143716735,0.116138575,0.116131468,0.116138575,0.116138575,0.999753004,0.999752827,0.999753005,0.999999823,1,0.999999822,2.53E-05,2.53E-05,2.53E-05,-1.81E-08,4.76E-11,1.82E-08
rFEF,rPFCM,0.129554575,0.129553801,0.129554574,0.1295549,0.100212465,0.100206425,0.100212466,0.100212646,1,1,1,1,1,1,7.71E-06,1.10E-05,7.71E-06,-3.24E-06,4.11E-09,3.25E-06,rFEF,rPFCM,0.129554575,0.129553801,0.129554574,0.1295549,0.100212465,0.100206425,0.100212466,0.100212646,0.999924668,0.999893007,0.999924708,0.999968339,0.99999996,0.999968299,7.71E-06,1.10E-05,7.71E-06,-3.24E-06,4.11E-09,3.25E-06
rFEF,rPFCORB,0.126025342,0.125754913,0.126025342,0.126025202,0.114893932,0.114200648,0.114893932,0.114893719,1,1,1,1,1,1,0.002356903,0.002355688,0.002356902,1.21E-06,6.36E-10,-1.21E-06,rFEF,rPFCORB,0.126025342,0.125754913,0.126025342,0.126025202,0.114893932,0.114200648,0.114893932,0.114893719,0.976981054,0.976992916,0.97698106,0.999988147,0.999999994,0.999988154,0.002356903,0.002355688,0.002356902,1.21E-06,6.36E-10,-1.21E-06
rFEF,rTCC,0.130202996,0.130189702,0.130202996,0.130203042,0.10221093,0.102216554,0.10221093,0.102210894,1,1,1,1,1,1,0.000129848,0.000130298,0.00012985,-4.50E-07,-1.75E-09,4.48E-07,rFEF,rTCC,0.130202996,0.130189702,0.130202996,0.130203042,0.10221093,0.102216554,0.10221093,0.102210894,0.998731648,0.998727254,0.998731631,0.999995607,0.999999983,0.999995624,0.000129848,0.000130298,0.00012985,-4.50E-07,-1.75E-09,4.48E-07
rFEF,rTCI,0.111867302,0.111853203,0.111867302,0.111867301,0.115348871,0.115334542,0.115348871,0.115348869,1,1,1,1,1,1,0.000122028,0.000122021,0.000122028,7.19E-09,6.58E-11,-7.12E-09,rFEF,rTCI,0.111867302,0.111853203,0.111867302,0.111867301,0.115348871,0.115334542,0.115348871,0.115348869,0.998808034,0.998808105,0.998808035,0.99999993,0.999999999,0.99999993,0.000122028,0.000122021,0.000122028,7.19E-09,6.58E-11,-7.12E-09
