ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF
rPCM,lPFCDL,0.1631308404172358,0.16283967761569496,0.14263822297353693,0.16313022834167887,0.12928288351026482,0.1295537408776738,0.12089848748154501,0.12928215165860948,0.9780636606245727,0.9781097012519497,0.04915204810690746,0.9999538316522958,0.045743230350065715,0.04574902907006834,0.002246026555729979,0.0022413113423945213,-0.16095464815989047,4.726505879484171e-06,0.1634570577595521,0.16345266922243612
rPCM,lPFCDL,0.1631308404172358,0.16283967761569496,0.14263822297353693,0.16313022834167887,0.12928288351026482,0.1295537408776738,0.12089848748154501,0.12928215165860948,0.9780636606245727,0.9781097012519497,0.04915204810690746,0.9999538316522958,0.045743230350065715,0.04574902907006834,0.002246026555729979,0.0022413113423945213,-0.16095464815989047,4.726505879484171e-06,0.1634570577595521,0.16345266922243612
rPFCDL,rPFCM,0.1271150325969239,0.12760414910241963,0.12711246567416443,0.153074050492387,0.13295212572655554,0.13346993620500916,0.13294930044872083,0.1391452004212484,0.9642064895229341,0.022709465151946096,0.9640183891127361,0.020010838013991596,0.9998117212864697,0.01999737806078823,-0.0036656101604214827,0.18650400939333628,-0.00368488657750749,-0.19043925953838114,1.9275120261323623e-05,0.19046002245732951
rPFCDL,rTCC,0.12454879304151123,0.12475395322040266,0.12454766352661752,0.15631369331610806,0.10375008144188634,0.10369770808447036,0.10374689376303119,0.14337946700936902,0.9807136105778028,0.0021362303353213404,0.9806071517389708,0.002002375999019055,0.9998938330642431,0.002001423183992073,-0.0019746458015250106,0.25181158265894743,-0.001985547784939232,-0.25340457111855125,1.0868889016364634e-05,0.2534162575858931
rPFCDL,lV1,0.16562062498041163,0.16590844902129206,0.16562115615761117,0.1414119687041471,0.1302949202863179,0.13072835539303196,0.13029394609294453,0.11116214491723236,0.978496774497487,0.01384963650520493,0.978536368985019,0.01480849550945293,0.9999602449173703,0.014805887007000374,-0.002201669845905047,-0.20154576444461944,-0.0021976148683227844,0.1995614124274857,-4.069944910421346e-06,-0.19956665468723375
rPFCORB,lPFCDL,0.15308781859647197,0.1529654987501153,0.13258488526911213,0.15308810594199676,0.12018181320217429,0.11979797059038984,0.11504361441675431,0.12018191656135492,0.9900592410743594,0.990035894428409,0.03426534435669652,0.9999766845073971,0.03349830851232606,0.033495916404514006,0.001017716172901133,0.0010201064829635888,-0.173244011334892,-2.3869343025055297e-06,0.17399353371407658,0.1739958941198242
rTCS,lPFCDL,0.16776186691740216,0.167572656368242,0.13900322536183476,0.16776180897572457,0.1510112782558101,0.15106840566584046,0.1159558235087413,0.15101133250673654,0.987784369076556,0.9877881117515311,0.009717594527236502,0.9999962583711964,0.009231389421479521,0.009231545626869024,0.001250629828417942,0.0012502466253316268,-0.21180355612835017,3.830509734162044e-07,0.21325703835831009,0.21325656050139097
rV2,lPFCDL,0.16593182550242466,0.16578486016038507,0.13941637572718008,0.16593102880427363,0.14725219066365502,0.14743940361460098,0.09975777949304722,0.147251540851431,0.9902737505698271,0.9903264525907822,0.010672415287444306,0.9999472391116379,0.010180900076464786,0.010182929401191358,0.0009957539922076585,0.0009903581987828253,-0.2091289064745952,5.4014202693840145e-06,0.21047778458301084,0.21047209706619557
lFEF,lPFCDL,0.13239723467146763,0.13233732181584945,0.1567774388545113,0.13239719820132376,0.11160781806231497,0.11148220608221591,0.11784693485761255,0.1116077199661581,0.9947622379372915,0.9947654239181171,0.009412759713025857,0.9999968134396613,0.009625874809548084,0.009625737247959827,0.0005362221664158163,0.0005358959931189139,0.21270700990568597,3.262255834693348e-07,-0.2120726941390425,-0.21207309951152808
lPCS,lPFCDL,0.1277317630756096,0.12759799672339853,0.1515887253163341,0.12773175605902531,0.1052105988155126,0.10499502183988303,0.11240859175913334,0.10521056169658254,0.9875893689074521,0.98759001764897,0.007194762994321267,0.9999993496525715,0.007579360315715042,0.007579332820060636,0.0012705954441169876,0.0012705290208499338,0.2202060668840194,6.657961775412808e-08,-0.21876884791206153,-0.21876894829566046
lPFCDL,lPFCM,0.15808854663465063,0.15719729264671597,0.13366469348508472,0.15808855665286436,0.12271287409031334,0.1222794792062355,0.1137427641525423,0.12271282641022342,0.9291428173455519,0.9291420091938112,0.015116898760908113,0.9999992038785124,0.011857978970750523,0.011857926821070881,0.007263622072351281,0.007263705135841358,-0.19894729495672045,-8.150330425953197e-08,0.2060901297610782,0.20609025736701625
