ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF
rPCI,lPFCDL,0.14105358466722545,0.14063682446529058,0.16220610555131348,0.14105350305012349,0.11561112654748294,0.11545830614102837,0.13727145202004842,0.11561114016413425,0.9648349114041328,0.9648417956338152,0.03801485099877335,0.9999931156869951,0.04198835680979774,0.0419875778043707,0.003601211341230646,0.003600505878194998,0.16977456253999668,7.047847171024053e-07,-0.16640289849075576,-0.16640353242414024
rPCI,lPFCDL,0.14105358466722545,0.14063682446529058,0.16220610555131348,0.14105350305012349,0.11561112654748294,0.11545830614102837,0.13727145202004842,0.11561114016413425,0.9648349114041328,0.9648417956338152,0.03801485099877335,0.9999931156869951,0.04198835680979774,0.0419875778043707,0.003601211341230646,0.003600505878194998,0.16977456253999668,7.047847171024053e-07,-0.16640289849075576,-0.16640353242414024
rPCM,lPFCDL,0.12471065999081177,0.12488923347466074,0.1440059465270072,0.12471045060849494,0.11116269414592943,0.11105823978122366,0.1193603140154851,0.11116238081406014,0.9843284103901929,0.9843100152635803,0.04305246471916392,0.9999816320518036,0.041236276985055664,0.041233819145207025,-0.0016044896409883062,-0.0016063732152334577,0.16554612582994635,1.8804271632147292e-06,-0.16701961933826248,-0.16702165041718997
rPCS,lPFCDL,0.13929974273483192,0.1395757588663038,0.12202953897062341,0.13929969403167794,0.10929240655788212,0.10940021377008946,0.0990611388407279,0.10929250449218615,0.9753883735380316,0.9753840432028855,0.04023801115413427,0.9999956544375072,0.04335960876114171,0.04336030011937915,-0.002520027303117998,-0.002520470834764262,-0.16785314414881924,4.4487896322622333e-07,0.1653021663797584,0.16530161889881506
rPFCDL,rV1,0.1738781105842007,0.1736290249532017,0.17387282265088905,0.15294259183042727,0.13149388652206248,0.13140169603598556,0.1314876015294279,0.11056280849444743,0.9815228267123801,0.03767962895939889,0.9819145851129712,0.03551863546248414,0.9996078340657818,0.03555983051946331,0.0018917786601148432,-0.17007254597382104,0.0018516616558904742,0.17204970783556534,4.0148169899302e-05,-0.17201106759593446
rPFCDL,lV1,0.11271307778336014,0.1132442286145284,0.11271389293731332,0.1355138756941468,0.09281398970914478,0.09252589333924427,0.09281396054551155,0.13023901581550784,0.9441527775407108,0.01623776860445156,0.944238337027534,0.013970915823010058,0.999914354339811,0.013974307508269845,-0.005722073322814367,0.19680466043714348,-0.005713292592048812,-0.20128818424096293,-8.768013955842612e-06,0.2012810092656012
rPFCORB,lPFCDL,0.14082614588945536,0.14144569659573517,0.16199982306979294,0.14082626653006136,0.12110828881755945,0.12158102495874994,0.1246150867246112,0.12110846542680057,0.9502432523172049,0.9502529645741128,0.04164604460011378,0.9999902859927737,0.035536952950962784,0.03553812780743153,-0.0050971843530448445,-0.005096188114035021,0.1666824290008623,-9.944759673443228e-07,-0.17203252162319974,-0.1720314195836839
rTCC,lPFCDL,0.1253052352245531,0.1250634067939011,0.1486746330837526,0.12530507052401726,0.11340302883518101,0.11320460775378771,0.125794473510433,0.11340274914709515,0.9791890278878744,0.9792031725787536,0.016142537420103617,0.9999858371716962,0.01734571276472421,0.01734480414437396,0.002130775095821289,0.0021293265329104696,0.1969815469535748,1.4499260758281563e-06,-0.19481117750828897,-0.19481276589059168
rV1,lPFCDL,0.152575312900379,0.15180777503989254,0.11566255077151605,0.15257526484130624,0.11797445893277234,0.11797222075033982,0.08360829460642111,0.11797446755159292,0.936622308556903,0.9366262708587061,1.807088580927725e-05,0.9999960274765083,1.2030005369962038e-05,1.2030326359732311e-05,0.006495175638058704,0.006494768708014902,-0.3529285607288649,4.0668892354802847e-07,0.3604183886384329,0.36041790185918465
lFEF,lPFCDL,0.14326116034559486,0.14363302364351782,0.16902293671480567,0.14326114025792827,0.12373699997253745,0.12455387244874612,0.12620099038854432,0.1237369548375711,0.9707966912229604,0.9707951091081526,0.013561564745993739,0.9999984168973168,0.01198059026239195,0.01198050890699889,-0.0029903717011647585,-0.002990533779750383,0.20216568581794891,1.620708668968611e-07,-0.20579148057656838,-0.20579167783472216
