ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,padj HD,padj H_LF,padj H_HF,padj D_LF,padj D_HF,padj_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF,ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF
rFEF,rPCM,0.12290273844421737,0.12291584491094092,0.12290273891291979,0.12290247282201137,0.11949697307208691,0.11952628101597612,0.1194969730876117,0.11949630924204788,1.0,1.0,1.0,1.0,1.0,1.0,-0.00010939236391802938,-0.00011160967417665212,-0.00010938845191334224,2.2172783750382456e-06,-3.912477342448157e-09,-2.22119086310398e-06,rFEF,rPCM,0.12290273844421737,0.12291584491094092,0.12290273891291979,0.12290247282201137,0.11949697307208691,0.11952628101597612,0.1194969730876117,0.11949630924204788,0.9991277234760502,0.9991100430199513,0.9991277546697127,0.9999823197873152,0.9999999688025498,0.9999822885897796,-0.00010939236391802938,-0.00011160967417665212,-0.00010938845191334224,2.2172783750382456e-06,-3.912477342448157e-09,-2.22119086310398e-06
rFEF,rPCM,0.12290273844421737,0.12291584491094092,0.12290273891291979,0.12290247282201137,0.11949697307208691,0.11952628101597612,0.1194969730876117,0.11949630924204788,1.0,1.0,1.0,1.0,1.0,1.0,-0.00010939236391802938,-0.00011160967417665212,-0.00010938845191334224,2.2172783750382456e-06,-3.912477342448157e-09,-2.22119086310398e-06,rFEF,rPCM,0.12290273844421737,0.12291584491094092,0.12290273891291979,0.12290247282201137,0.11949697307208691,0.11952628101597612,0.1194969730876117,0.11949630924204788,0.9991277234760502,0.9991100430199513,0.9991277546697127,0.9999823197873152,0.9999999688025498,0.9999822885897796,-0.00010939236391802938,-0.00011160967417665212,-0.00010938845191334224,2.2172783750382456e-06,-3.912477342448157e-09,-2.22119086310398e-06
rFEF,rPCS,0.13200757909155006,0.13199118283885056,0.13200757859583667,0.1320074258592836,0.1040634440822669,0.10406532925454205,0.10406344391493647,0.10406375313831673,1.0,1.0,1.0,1.0,1.0,1.0,0.0001571643405001778,0.0001556953195438352,0.00015715958902450314,1.4688008850546952e-06,4.751645069091425e-09,-1.464049248222396e-06,rFEF,rPCS,0.13200757909155006,0.13199118283885056,0.13200757859583667,0.1320074258592836,0.1040634440822669,0.10406532925454205,0.10406344391493647,0.10406375313831673,0.9987467979432741,0.9987585116601367,0.9987468358307119,0.999988288023582,0.9999999621111646,0.9999883259123518,0.0001571643405001778,0.0001556953195438352,0.00015715958902450314,1.4688008850546952e-06,4.751645069091425e-09,-1.464049248222396e-06
rFEF,rPFCCL,0.15629385784682445,0.15629124677616313,0.15629385803685564,0.1562937285113245,0.11376178273389544,0.11379668455815639,0.11376178250464486,0.1137612945852243,1.0,1.0,1.0,1.0,1.0,1.0,2.2891126003536867e-05,2.1757294804437808e-05,2.2892792020500762e-05,1.134054246555388e-06,-1.666249487023857e-09,-1.1357205007599982e-06,rFEF,rPFCCL,0.15629385784682445,0.15629124677616313,0.15629385803685564,0.1562937285113245,0.11376178273389544,0.11379668455815639,0.11376178250464486,0.1137612945852243,0.9998174699318848,0.9998265109149544,0.9998174566473402,0.9999909572381609,0.9999999867136009,0.9999909439517243,2.2891126003536867e-05,2.1757294804437808e-05,2.2892792020500762e-05,1.134054246555388e-06,-1.666249487023857e-09,-1.1357205007599982e-06
rFEF,rPFCDL,0.1372497454115906,0.13676750884458155,0.13724470656518822,0.16249678070547596,0.12255913053344987,0.12227011148058452,0.12255419294582746,0.1376469976358548,1.0,1.0,1.0,1.0,1.0,1.0,0.003929507159308133,0.19714032908269738,0.0038885266067900147,-0.19324378696325936,4.101150788641138e-05,0.19328579833021275,rFEF,rPFCDL,0.1372497454115906,0.13676750884458155,0.13724470656518822,0.16249678070547596,0.12255913053344987,0.12227011148058452,0.12255419294582746,0.1376469976358548,0.9686748389058079,0.049370039023850634,0.9690013608901539,0.054014757937792875,0.9996729809978755,0.053962792428808595,0.003929507159308133,0.19714032908269738,0.0038885266067900147,-0.19324378696325936,4.101150788641138e-05,0.19328579833021275
rFEF,rPFCDM,0.12606904953590103,0.1260703598267651,0.12606904955800202,0.12606905047781916,0.1095817847819204,0.109582849575837,0.10958178477877768,0.10958178729905983,1.0,1.0,1.0,1.0,1.0,1.0,-1.1927207469272893e-05,-1.1918633317847997e-05,-1.1927006290398196e-05,-8.574056096226352e-09,-2.0118002314653762e-10,8.372876075513358e-09,rFEF,rPFCDM,0.12606904953590103,0.1260703598267651,0.12606904955800202,0.12606905047781916,0.1095817847819204,0.109582849575837,0.10958178477877768,0.10958178729905983,0.9999048944116886,0.9999049627805598,0.9999048960158559,0.9999999316318884,0.9999999983958237,0.9999999332360647,-1.1927207469272893e-05,-1.1918633317847997e-05,-1.1927006290398196e-05,-8.574056096226352e-09,-2.0118002314653762e-10,8.372876075513358e-09
rFEF,rPFCM,0.14828733540370753,0.14830800708528405,0.14828733432104108,0.1482882773107802,0.14160438643547277,0.14161762312997606,0.14160438808419606,0.14160451942271066,1.0,1.0,1.0,1.0,1.0,1.0,-0.00014560971176417323,-0.00013897492659984355,-0.00014561733713455504,-6.635026898614879e-06,7.626574426301463e-09,6.642653430833625e-06,rFEF,rPFCM,0.14828733540370753,0.14830800708528405,0.14828733432104108,0.1482882773107802,0.14160438643547277,0.14161762312997606,0.14160438808419606,0.14160451942271066,0.9988389325444439,0.99889183717522,0.9988388717410607,0.9999470933880109,0.9999999391869513,0.9999470325752988,-0.00014560971176417323,-0.00013897492659984355,-0.00014561733713455504,-6.635026898614879e-06,7.626574426301463e-09,6.642653430833625e-06
rFEF,rPFCORB,0.11400696922747437,0.11408748969722059,0.11400696902965332,0.11400682445875819,0.09217500561865578,0.0921715544742531,0.09217500575772439,0.09217504683904072,1.0,1.0,1.0,1.0,1.0,1.0,-0.0008713904535000547,-0.0008729569416255373,-0.0008713925936570057,1.566653645378375e-06,2.1407742518071662e-09,-1.5645128704234016e-06,rFEF,rPFCORB,0.11400696922747437,0.11408748969722059,0.11400696902965332,0.11400682445875819,0.09217500561865578,0.0921715544742531,0.09217500575772439,0.09217504683904072,0.9930517641522356,0.993039273710115,0.993051747087626,0.9999875077617828,0.9999999829298186,0.9999875248319698,-0.0008713904535000547,-0.0008729569416255373,-0.0008713925936570057,1.566653645378375e-06,2.1407742518071662e-09,-1.5645128704234016e-06
rFEF,rTCC,0.17331083370067354,0.17331527888553055,0.17331083387868007,0.17331107192987838,0.15062902216450222,0.15064726035336432,0.1506290222834951,0.15062935500983407,1.0,1.0,1.0,1.0,1.0,1.0,-2.9435161132809547e-05,-2.7857622277575705e-05,-2.943398239612635e-05,-1.5776018427681884e-06,-1.1787964203928817e-09,1.5764230470270597e-06,rFEF,rTCC,0.17331083370067354,0.17331527888553055,0.17331083387868007,0.17331107192987838,0.15062902216450222,0.15064726035336432,0.1506290222834951,0.15062935500983407,0.9997652888750433,0.9997778679096146,0.9997652982740952,0.9999874204626594,0.9999999906004714,0.9999874298621826,-2.9435161132809547e-05,-2.7857622277575705e-05,-2.943398239612635e-05,-1.5776018427681884e-06,-1.1787964203928817e-09,1.5764230470270597e-06
rFEF,rTCI,0.12421772498845973,0.12421557916203238,0.12421772498085887,0.1242177258343626,0.12038769162335528,0.12037156796984325,0.12038769160100174,0.12038768894876405,1.0,1.0,1.0,1.0,1.0,1.0,1.778087486708551e-05,1.778788443542529e-05,1.7780811886000926e-05,-7.008901428468419e-09,6.297851804933168e-11,7.071879947868037e-09,rFEF,rTCI,0.12421772498845973,0.12421557916203238,0.12421772498085887,0.1242177258343626,0.12038769162335528,0.12037156796984325,0.12038769160100174,0.12038768894876405,0.9998582182321916,0.9998581623390486,0.9998582187343923,0.9999999441121741,0.9999999994978197,0.9999999436099937,1.778087486708551e-05,1.778788443542529e-05,1.7780811886000926e-05,-7.008901428468419e-09,6.297851804933168e-11,7.071879947868037e-09
rFEF,rTCS,0.14711088359989974,0.14709871906242922,0.14711088338337125,0.1471111660553951,0.12905600157917022,0.12904179202045032,0.1290560013715198,0.1290567426303895,1.0,1.0,1.0,1.0,1.0,1.0,9.402705718411423e-05,9.621005004950442e-05,9.402538358029201e-05,-2.1831426618646355e-06,1.6735873383741752e-09,2.1848162461543943e-06,rFEF,rTCS,0.14711088359989974,0.14709871906242922,0.14711088338337125,0.1471111660553951,0.12905600157917022,0.12904179202045032,0.1290560013715198,0.1290567426303895,0.9992502438383857,0.9992328370206028,0.9992502571834211,0.9999825919798715,0.9999999866550902,0.999982578634986,9.402705718411423e-05,9.621005004950442e-05,9.402538358029201e-05,-2.1831426618646355e-06,1.6735873383741752e-09,2.1848162461543943e-06
rFEF,rV1,0.11343582915262587,0.11205856891873278,0.113435829092318,0.11343582086164088,0.09902310487180625,0.09898424486543037,0.09902310489905532,0.09902310595123352,1.0,1.0,1.0,1.0,1.0,1.0,0.013876381295367448,0.013876297685116543,0.013876380685834454,8.351820036960187e-08,6.075037868132215e-10,-8.291069657460856e-08,rFEF,rV1,0.11343582915262587,0.11205856891873278,0.113435829092318,0.11343582086164088,0.09902310487180625,0.09898424486543037,0.09902310489905532,0.09902310595123352,0.8897069740599951,0.8897076343506569,0.8897069788736264,0.9999993340396216,0.9999999951558648,0.9999993388837568,0.013876381295367448,0.013876297685116543,0.013876380685834454,8.351820036960187e-08,6.075037868132215e-10,-8.291069657460856e-08
