mean health,mean depr,meanLF,meanHF,std health,std depr,std LF,std HF,p H_D,p H_LF,p H_HF,p LF_depr,p HF_depr,p HF_LF,ES H_HF,ES H_LF,ES H_HF,ES LF_depr,ES HF_depr,ES HF_LF,p adj H_depr,p adj H_LF,p adj H_HF,p adj LF_depr,p adj HF_depr,p adj HF_LF
1.4006554250997586e-07,6.879830473761999e-08,7.999941895318703e-08,7.999941895318703e-08,1.413444981258342e-07,5.8650247323737794e-08,5.961401607133443e-08,5.961401607133443e-08,6.502720229732221e-06,0.00013373964132962755,0.00013373964132962755,0.18416842727123572,0.18416842727123572,1.0,0.6553095851901721,0.5509749770541823,0.5509749770541823,0.18846940828187977,0.18846940828187977,0.0,2.6010880918928884e-05,0.0002674792826592551,0.0002674792826592551,0.5525052818137072,0.5525052818137072,1.0
2.0281057767893974e-07,7.830149011239993e-08,7.235495191189938e-05,7.235495191189938e-05,2.536685534253157e-07,6.535600978627261e-08,3.3858497463438108e-06,3.3858497463438108e-06,4.274331797866137e-06,3.5276874974488556e-235,3.5276874974488556e-235,1.5004318517188123e-235,1.5004318517188123e-235,1.0,0.6688226938310974,-29.901893525947088,-29.901893525947088,30.0318467011672,30.0318467011672,0.0,2.1371658989330683e-05,1.763843748724428e-234,1.763843748724428e-234,7.502159258594062e-235,7.502159258594062e-235,1.0
2.1531941820931323e-07,8.037508961882834e-08,2.1701104062791127e-05,2.1701104062791127e-05,2.8506361666819753e-07,6.002599813789112e-08,1.3523233317522211e-06,1.3523233317522211e-06,7.240635133920792e-06,1.818580770407868e-208,1.818580770407868e-208,9.01979458408634e-211,9.01979458408634e-211,1.0,0.6518152172502236,-21.87573335740902,-21.87573335740902,22.474755560443516,22.474755560443516,0.0,2.6010880918928884e-05,7.274323081631472e-208,7.274323081631472e-208,3.607917833634536e-210,3.607917833634536e-210,1.0
1.4915407546783392e-07,7.048920150754049e-08,6.97365601823828e-08,6.97365601823828e-08,1.8162010924452839e-07,6.480050656721096e-08,6.3213435442758e-08,6.3213435442758e-08,7.093015895727176e-05,5.81437241914947e-05,5.81437241914947e-05,0.9341547991716729,0.9341547991716729,1.0,0.5740235763164373,0.5811053220418724,0.5811053220418724,-0.011698899462347923,-0.011698899462347923,0.0,0.00014186031791454351,0.0001744311725744841,0.0001744311725744841,1.0,1.0,1.0
1.4949863269844979e-07,6.294792215747393e-08,5.998078932149838e-08,5.998078932149838e-08,2.256029664225348e-07,5.025101003295063e-08,4.9555489696167594e-08,4.9555489696167594e-08,0.0002538494686375812,0.00015571539875220647,0.00015571539875220647,0.6761724410760876,0.6761724410760876,1.0,0.5269188317276874,0.5453370977120471,0.5453370977120471,-0.05915823562439374,-0.05915823562439374,0.0,0.0002538494686375812,0.0002674792826592551,0.0002674792826592551,1.0,1.0,1.0
