mean health,mean depr,meanLF,meanHF,std health,std depr,std LF,std HF,p H_D,p H_LF,p H_HF,p LF_depr,p HF_depr,p HF_LF,ES H_HF,ES H_LF,ES H_HF,ES LF_depr,ES HF_depr,ES HF_LF,p adj H_depr,p adj H_LF,p adj H_HF,p adj LF_depr,p adj HF_depr,p adj HF_LF
2.2603183528923854e-07,8.290996072356472e-08,8.290923468587648e-08,8.290923468587648e-08,3.431723511507076e-07,6.747197235454355e-08,6.747084738873821e-08,6.747084738873821e-08,6.744490958959563e-05,6.74387175118394e-05,6.74387175118394e-05,0.9999396699491563,0.9999396699491563,1.0,0.5758247858063911,0.5758280642052918,0.5758280642052918,-1.0706733118739414e-05,-1.0706733118739414e-05,0.0,0.00020233472876878689,0.0002023161525355182,0.0002023161525355182,1.0,1.0,1.0
1.5208113126678104e-07,8.311481909239253e-08,8.309600975175642e-08,8.309600975175642e-08,1.1548885174566859e-07,7.835998801106637e-08,7.834485152545897e-08,7.834485152545897e-08,1.842876933626976e-06,1.829174042471296e-06,1.829174042471296e-06,0.9986540923540983,0.9986540923540983,1.0,0.6953409954577303,0.6955729909587409,0.6955729909587409,-0.00023885742905248815,-0.00023885742905248815,0.0,9.21438466813488e-06,9.14587021235648e-06,9.14587021235648e-06,1.0,1.0,1.0
1.6678048737353235e-07,7.444431228821063e-08,7.444522098011896e-08,7.444522098011896e-08,1.9720354249485979e-07,5.989709310301693e-08,5.990836640048409e-08,5.990836640048409e-08,1.3856084949666505e-05,1.3862822119948873e-05,1.3862822119948873e-05,0.9999149519508408,0.9999149519508408,1.0,0.6304172294499181,0.6304010033464956,0.6304010033464956,1.5093419494023754e-05,1.5093419494023754e-05,0.0,5.542433979866602e-05,5.5451288479795493e-05,5.5451288479795493e-05,1.0,1.0,1.0
1.4514285661837373e-07,8.61836486467393e-08,8.618233544612136e-08,8.618233544612136e-08,1.3684155298547889e-07,8.094709939602307e-08,8.094562280812361e-08,8.094562280812361e-08,0.00029004360032133217,0.0002899373909805026,0.0002899373909805026,0.9999090446898614,0.9999090446898614,1.0,0.5218101316776484,0.5218242213676197,0.5218242213676197,-1.614177709048193e-05,-1.614177709048193e-05,0.0,0.00029004360032133217,0.0002899373909805026,0.0002899373909805026,1.0,1.0,1.0
1.123296843911015e-07,6.756352170659223e-08,6.756279562019877e-08,6.756279562019877e-08,8.998508702736206e-08,6.389499502685932e-08,6.389431860380645e-08,6.389431860380645e-08,7.766592147135801e-05,7.764154582832771e-05,7.764154582832771e-05,0.9999362884651403,0.9999362884651403,1.0,0.5707696173426405,0.5707809003569055,0.5707809003569055,-1.1306842790012935e-05,-1.1306842790012935e-05,0.0,0.00020233472876878689,0.0002023161525355182,0.0002023161525355182,1.0,1.0,1.0
